season,year,month,hour,holiday,week_day,working_day,weather_situation,temperature,felt_temperature,humidity,wind_speed,count,days_since_2011
spring,0,January,9pm-5am,0,Saturday,0,Good,9.84,14.395,81.0,0.0,16,0
spring,0,January,9pm-5am,0,Saturday,0,Good,9.02,13.635,80.0,0.0,40,0
spring,0,January,9pm-5am,0,Saturday,0,Good,9.02,13.635,80.0,0.0,32,0
spring,0,January,9pm-5am,0,Saturday,0,Good,9.84,14.395,75.0,0.0,13,0
spring,0,January,9pm-5am,0,Saturday,0,Good,9.84,14.395,75.0,0.0,1,0
spring,0,January,9pm-5am,0,Saturday,0,Medium,9.84,12.879999999999999,75.0,6.0032,1,0
spring,0,January,6am-10am,0,Saturday,0,Good,9.02,13.635,80.0,0.0,2,0
spring,0,January,6am-10am,0,Saturday,0,Good,8.200000000000001,12.879999999999999,86.0,0.0,3,0
spring,0,January,6am-10am,0,Saturday,0,Good,9.84,14.395,75.0,0.0,8,0
spring,0,January,6am-10am,0,Saturday,0,Good,13.120000000000001,17.424999999999997,76.0,0.0,14,0
spring,0,January,6am-10am,0,Saturday,0,Good,15.58,19.695,76.0,16.997899999999998,36,0
spring,0,January,11am-4pm,0,Saturday,0,Good,14.76,16.665,81.0,19.0012,56,0
spring,0,January,11am-4pm,0,Saturday,0,Good,17.22,21.21,77.0,19.0012,84,0
spring,0,January,11am-4pm,0,Saturday,0,Medium,18.86,22.725,72.0,19.999499999999998,94,0
spring,0,January,11am-4pm,0,Saturday,0,Medium,18.86,22.725,72.0,19.0012,106,0
spring,0,January,11am-4pm,0,Saturday,0,Medium,18.04,21.97,77.0,19.999499999999998,110,0
spring,0,January,11am-4pm,0,Saturday,0,Medium,17.22,21.21,82.0,19.999499999999998,93,0
spring,0,January,5pm-8pm,0,Saturday,0,Medium,18.04,21.97,82.0,19.0012,67,0
spring,0,January,5pm-8pm,0,Saturday,0,Bad,17.22,21.21,88.0,16.997899999999998,35,0
spring,0,January,5pm-8pm,0,Saturday,0,Bad,17.22,21.21,88.0,16.997899999999998,37,0
spring,0,January,5pm-8pm,0,Saturday,0,Medium,16.400000000000002,20.455000000000002,87.0,16.997899999999998,36,0
spring,0,January,9pm-5am,0,Saturday,0,Medium,16.400000000000002,20.455000000000002,87.0,12.998,34,0
spring,0,January,9pm-5am,0,Saturday,0,Medium,16.400000000000002,20.455000000000002,94.0,15.001299999999999,28,0
spring,0,January,9pm-5am,0,Saturday,0,Medium,18.86,22.725,88.0,19.999499999999998,39,0
spring,0,January,9pm-5am,0,Sunday,0,Medium,18.86,22.725,88.0,19.999499999999998,17,1
spring,0,January,9pm-5am,0,Sunday,0,Medium,18.04,21.97,94.0,16.997899999999998,17,1
spring,0,January,9pm-5am,0,Sunday,0,Medium,17.22,21.21,100.0,19.0012,9,1
spring,0,January,9pm-5am,0,Sunday,0,Medium,18.86,22.725,94.0,12.998,6,1
spring,0,January,9pm-5am,0,Sunday,0,Medium,18.86,22.725,94.0,12.998,3,1
spring,0,January,6am-10am,0,Sunday,0,Bad,17.22,21.21,77.0,19.999499999999998,2,1
spring,0,January,6am-10am,0,Sunday,0,Medium,16.400000000000002,20.455000000000002,76.0,12.998,1,1
spring,0,January,6am-10am,0,Sunday,0,Bad,16.400000000000002,20.455000000000002,71.0,15.001299999999999,8,1
spring,0,January,6am-10am,0,Sunday,0,Medium,15.58,19.695,76.0,15.001299999999999,20,1
spring,0,January,6am-10am,0,Sunday,0,Medium,14.76,17.424999999999997,81.0,15.001299999999999,53,1
spring,0,January,11am-4pm,0,Sunday,0,Medium,14.76,16.665,71.0,16.997899999999998,70,1
spring,0,January,11am-4pm,0,Sunday,0,Medium,14.76,16.665,66.0,19.999499999999998,93,1
spring,0,January,11am-4pm,0,Sunday,0,Medium,14.76,17.424999999999997,66.0,8.9981,75,1
spring,0,January,11am-4pm,0,Sunday,0,Bad,14.76,17.424999999999997,76.0,12.998,59,1
spring,0,January,11am-4pm,0,Sunday,0,Bad,13.940000000000001,16.665,81.0,11.0014,74,1
spring,0,January,11am-4pm,0,Sunday,0,Bad,13.940000000000001,16.665,71.0,11.0014,76,1
spring,0,January,5pm-8pm,0,Sunday,0,Good,13.940000000000001,16.665,56.99999999999999,12.998,65,1
spring,0,January,5pm-8pm,0,Sunday,0,Medium,14.76,16.665,46.0,22.0028,53,1
spring,0,January,5pm-8pm,0,Sunday,0,Good,13.120000000000001,14.395,42.0,30.002599999999997,30,1
spring,0,January,5pm-8pm,0,Sunday,0,Good,12.299999999999999,13.635,39.0,23.9994,22,1
spring,0,January,9pm-5am,0,Sunday,0,Good,10.66,11.365,44.0,22.0028,31,1
spring,0,January,9pm-5am,0,Sunday,0,Good,9.84,10.605,44.0,19.999499999999998,9,1
spring,0,January,9pm-5am,0,Sunday,0,Good,9.02,11.365,47.0,11.0014,8,1
spring,0,January,9pm-5am,0,Monday,1,Good,9.02,9.85,44.0,23.9994,5,2
spring,0,January,9pm-5am,0,Monday,1,Good,8.200000000000001,8.334999999999999,44.0,27.999299999999998,2,2
spring,0,January,9pm-5am,0,Monday,1,Good,6.5600000000000005,6.819999999999999,47.0,26.0027,1,2
spring,0,January,9pm-5am,0,Monday,1,Good,6.5600000000000005,6.819999999999999,47.0,19.0012,3,2
spring,0,January,6am-10am,0,Monday,1,Good,5.74,5.305,50.0,26.0027,30,2
spring,0,January,6am-10am,0,Monday,1,Good,5.74,6.819999999999999,50.0,12.998,64,2
spring,0,January,6am-10am,0,Monday,1,Good,5.74,6.0600000000000005,50.0,19.0012,154,2
spring,0,January,6am-10am,0,Monday,1,Good,6.5600000000000005,6.819999999999999,43.0,26.0027,88,2
spring,0,January,6am-10am,0,Monday,1,Good,7.38,8.334999999999999,43.0,16.997899999999998,44,2
spring,0,January,11am-4pm,0,Monday,1,Good,8.200000000000001,9.09,40.0,22.0028,51,2
spring,0,January,11am-4pm,0,Monday,1,Good,9.02,10.605,35.0,19.999499999999998,61,2
spring,0,January,11am-4pm,0,Monday,1,Good,9.84,10.605,35.0,19.0012,61,2
